temperature_C,phase_shift_rad
61.25,0.3625
61.3,0.363
61.35,0.3635
61.4,0.364
61.45,0.3645
61.5,0.365
61.55,0.3655
61.6,0.366
61.65,0.3665
61.7,0.367
61.75,0.3675
61.8,0.368
61.85,0.3685
61.9,0.369
61.95,0.3695
62.0,0.37
62.05,0.3705
62.1,0.371
62.15,0.3715
62.2,0.372
62.25,0.3725
62.3,0.373
62.35,0.3735
62.4,0.374
62.45,0.3745
62.5,0.375
62.55,0.3755
62.6,0.376
62.65,0.3765
62.7,0.377
62.75,0.3775
62.8,0.378
62.85,0.3785
62.9,0.379
62.95,0.3795
63.0,0.38
63.05,0.3805
63.1,0.381
63.15,0.3815
63.2,0.382
63.25,0.3825
63.3,0.383
63.35,0.3835
63.4,0.384
63.45,0.3845
63.5,0.385
63.55,0.3855
63.6,0.386
63.65,0.3865
63.7,0.387
63.75,0.3875
63.8,0.388
63.85,0.3885
63.9,0.389
63.95,0.3895
64.0,0.39
64.05,0.3905
64.1,0.391
64.15,0.3915
64.2,0.392
64.25,0.3925
64.3,0.393
64.35,0.3935
64.4,0.394
64.45,0.3945
64.5,0.395
64.55,0.3955
64.6,0.396
64.65,0.3965
64.7,0.397
64.75,0.3975
64.8,0.398
64.85,0.3985
64.9,0.399
64.95,0.3995
65.0,0.4
65.05,0.4005
65.1,0.401
65.15,0.4015
65.2,0.402
65.25,0.4025
65.3,0.403
65.35,0.4035
65.4,0.404
65.45,0.4045
65.5,0.405
65.55,0.4055
65.6,0.406
65.65,0.4065
65.7,0.407
65.75,0.4075
65.8,0.408
65.85,0.4085
65.9,0.409
65.95,0.4095
66.0,0.41
66.05,0.4105
66.1,0.411
66.15,0.4115
66.2,0.412
66.25,0.4125
66.3,0.413
66.35,0.4135
66.4,0.414
66.45,0.4145
66.5,0.415
66.55,0.4155
66.6,0.416
66.65,0.4165
66.7,0.417
66.75,0.4175
66.8,0.418
66.85,0.4185
66.9,0.419
66.95,0.4195
67.0,0.42
67.05,0.4205
67.1,0.421
67.15,0.4215
67.2,0.422
67.25,0.4225
67.3,0.423
67.35,0.4235
67.4,0.424
67.45,0.4245
67.5,0.425
67.55,0.4255
67.6,0.426
67.65,0.4265
67.7,0.427
67.75,0.4275
67.8,0.428
67.85,0.4285
67.9,0.429
67.95,0.4295
68.0,0.43
68.05,0.4305
68.1,0.431
68.15,0.4315
68.2,0.432
68.25,0.4325
68.3,0.433
68.35,0.4335
68.4,0.434
68.45,0.4345
68.5,0.435
68.55,0.4355
68.6,0.436
68.65,0.4365
68.7,0.437
68.75,0.4375
68.8,0.438
68.85,0.4385
68.9,0.439
68.95,0.4395
69.0,0.44
69.05,0.4405
69.1,0.441
69.15,0.4415
69.2,0.442
69.25,0.4425
69.3,0.443
69.35,0.4435
69.4,0.444
69.45,0.4445
69.5,0.445
69.55,0.4455
69.6,0.446
69.65,0.4465
69.7,0.447
69.75,0.4475
69.8,0.448
69.85,0.4485
69.9,0.449
69.95,0.4495
70.0,0.45
