wavelength_nm,normalized_power
1526.8,0.16159137
1526.825,0.1621466
1526.85,0.16270313
1526.875,0.16326097
1526.9,0.16382011
1526.925,0.16438057
1526.95,0.16494233
1526.975,0.1655054
1527.0,0.16606977
1527.025,0.16663546
1527.05,0.16720245
1527.075,0.16777075
1527.1,0.16834036
1527.125,0.16891128
1527.15,0.16948351
1527.175,0.17005705
1527.2,0.1706319
1527.225,0.17120806
1527.25,0.17178553
1527.275,0.17236431
1527.3,0.1729444
1527.325,0.1735258
1527.35,0.17410851
1527.375,0.17469253
1527.4,0.17527786
1527.425,0.17586451
1527.45,0.17645246
1527.475,0.17704173
1527.5,0.1776323
1527.525,0.17822419
1527.55,0.17881739
1527.575,0.1794119
1527.6,0.18000772
1527.625,0.18060485
1527.65,0.18120329
1527.675,0.18180304
1527.7,0.1824041
1527.725,0.18300648
1527.75,0.18361016
1527.775,0.18421515
1527.8,0.18482146
1527.825,0.18542907
1527.85,0.18603799
1527.875,0.18664822
1527.9,0.18725976
1527.925,0.18787261
1527.95,0.18848677
1527.975,0.18910224
1528.0,0.18971901
1528.025,0.1903371
1528.05,0.19095649
1528.075,0.19157718
1528.1,0.19219919
1528.125,0.1928225
1528.15,0.19344711
1528.175,0.19407304
1528.2,0.19470026
1528.225,0.1953288
1528.25,0.19595863
1528.275,0.19658977
1528.3,0.19722222
1528.325,0.19785596
1528.35,0.19849101
1528.375,0.19912736
1528.4,0.19976501
1528.425,0.20040397
1528.45,0.20104422
1528.475,0.20168577
1528.5,0.20232862
1528.525,0.20297277
1528.55,0.20361822
1528.575,0.20426496
1528.6,0.20491301
1528.625,0.20556234
1528.65,0.20621297
1528.675,0.2068649
1528.7,0.20751812
1528.725,0.20817263
1528.75,0.20882844
1528.775,0.20948553
1528.8,0.21014392
1528.825,0.2108036
1528.85,0.21146456
1528.875,0.21212681
1528.9,0.21279035
1528.925,0.21345518
1528.95,0.21412129
1528.975,0.21478868
1529.0,0.21545736
1529.025,0.21612733
1529.05,0.21679857
1529.075,0.21747109
1529.1,0.21814489
1529.125,0.21881997
1529.15,0.21949633
1529.175,0.22017397
1529.2,0.22085288
1529.225,0.22153306
1529.25,0.22221452
1529.275,0.22289725
1529.3,0.22358125
1529.325,0.22426652
1529.35,0.22495306
1529.375,0.22564086
1529.4,0.22632993
1529.425,0.22702027
1529.45,0.22771187
1529.475,0.22840473
1529.5,0.22909885
1529.525,0.22979423
1529.55,0.23049087
1529.575,0.23118877
1529.6,0.23188792
1529.625,0.23258833
1529.65,0.23328999
1529.675,0.2339929
1529.7,0.23469706
1529.725,0.23540247
1529.75,0.23610913
1529.775,0.23681703
1529.8,0.23752618
1529.825,0.23823657
1529.85,0.23894819
1529.875,0.23966106
1529.9,0.24037517
1529.925,0.24109051
1529.95,0.24180709
1529.975,0.2425249
1530.0,0.24324394
1530.025,0.24396421
1530.05,0.24468571
1530.075,0.24540844
1530.1,0.24613239
1530.125,0.24685756
1530.15,0.24758395
1530.175,0.24831157
1530.2,0.2490404
1530.225,0.24977044
1530.25,0.2505017
1530.275,0.25123417
1530.3,0.25196785
1530.325,0.25270274
1530.35,0.25343883
1530.375,0.25417613
1530.4,0.25491463
1530.425,0.25565434
1530.45,0.25639524
1530.475,0.25713733
1530.5,0.25788062
1530.525,0.2586251
1530.55,0.25937078
1530.575,0.26011764
1530.6,0.26086568
1530.625,0.26161491
1530.65,0.26236532
1530.675,0.26311691
1530.7,0.26386968
1530.725,0.26462362
1530.75,0.26537874
1530.775,0.26613503
1530.8,0.26689248
1530.825,0.2676511
1530.85,0.26841088
1530.875,0.26917183
1530.9,0.26993393
1530.925,0.2706972
1530.95,0.27146161
1530.975,0.27222718
1531.0,0.2729939
1531.025,0.27376176
1531.05,0.27453077
1531.075,0.27530092
1531.1,0.27607221
1531.125,0.27684463
1531.15,0.27761819
1531.175,0.27839289
1531.2,0.27916871
1531.225,0.27994566
1531.25,0.28072373
1531.275,0.28150293
1531.3,0.28228324
1531.325,0.28306467
1531.35,0.28384722
1531.375,0.28463087
1531.4,0.28541563
1531.425,0.2862015
1531.45,0.28698847
1531.475,0.28777654
1531.5,0.2885657
1531.525,0.28935596
1531.55,0.29014732
1531.575,0.29093976
1531.6,0.29173328
1531.625,0.29252789
1531.65,0.29332358
